postal_prefix,population
BB5 5,11643
BB5 6,10927
BB6 7,10966
BB6 8,3902
BB7 1,8113
BB7 2,8749
BB7 3,2811
BB7 4,5341
BB7 9,10615
BB8 0,5558
BB8 7,5023
BB8 8,5371
BB8 9,7175
BB9 0,12109
BB9 4,10
BB9 5,7952
BB9 6,4541
BB9 7,8811
BB9 8,8961
BB9 9,7575
BD1 1,445
BD1 2,1477
BD1 3,1362
BD1 4,1366
BD1 5,1310
BD10 0,10596
BD10 8,10865
BD10 9,6658
BD11 1,5659
BD11 2,5925
BD12 0,4960
BD12 7,1940
BD12 8,5188
BD12 9,4811
BD13 1,4276
BD13 2,8166
BD13 3,7045
BD13 4,3801
BD13 5,3419
BD14 6,9010
BD15 0,4417
BD15 7,8662
BD15 8,848
BD15 9,3043
BD16 1,9209
BD16 2,3592
BD16 3,5884
BD16 4,6740
BD17 5,8196
BD17 6,6437
BD17 7,3949
BD18 1,6962
BD18 2,7597
BD18 3,5542
BD18 4,7690
BD19 3,5249
BD19 4,9413
BD19 5,3073
BD19 6,4854
BD2 1,8657
BD2 2,4940
BD2 3,9474
BD2 4,8492
BD20 0,6353
BD20 5,7650
BD20 6,8476
BD20 7,5070
BD20 8,6457
BD20 9,4199
BD21 1,5605
BD21 2,6890
BD21 3,4046
BD21 4,6695
BD21 5,3767
BD22 0,4447
BD22 6,8291
BD22 7,8754
BD22 8,4113
BD22 9,4267
BD23 1,6166
BD23 2,8641
BD23 3,4420
BD23 4,3661
BD23 5,3234
BD23 6,3999
BD24 0,2010
BD24 9,3259
BD3 0,10567
BD3 7,8066
BD3 8,10076
BD3 9,7288
BD4 0,6742
BD4 6,7778
BD4 7,5180
BD4 8,7360
BD4 9,5513
BD5 0,5566
BD5 7,5698
BD5 8,8608
BD5 9,12188
BD6 1,8799
BD6 2,8079
BD6 3,14210
BD7 1,5294
BD7 2,12610
BD7 3,8529
BD7 4,9759
BD8 0,9169
BD8 7,7231
BD8 8,7007
BD8 9,10744
BD9 4,9283
BD9 5,11303
BD9 6,10953
BH1 1,4254
BH1 2,1834
BH1 3,7120
BH1 4,10488
BH10 4,4905
BH10 5,7221
BH10 6,4887
BH10 7,3911
BH11 8,10155
BH11 9,10716
BH12 1,6190
BH12 2,7489
BH12 3,8624
BH12 4,9471
BH12 5,4395
BH13 6,4273
BH13 7,3760
BH14 0,7811
BH14 8,9721
BH14 9,7676
BH15 1,6505
BH15 2,7275
BH15 3,11068
BH15 4,10808
BH16 5,11163
BH16 6,4972
BH17 0,18
BH17 7,8798
BH17 8,7926
BH17 9,6301
BH18 8,5108
BH18 9,6832
BH19 1,4325
BH19 2,5024
BH19 3,1819
BH2 5,4896
BH2 6,4654
BH20 4,5846
BH20 5,4051
BH20 6,5909
BH20 7,4519
BH21 1,10115
BH21 2,10255
BH21 3,11140
BH21 4,3288
BH21 5,2407
BH21 6,1666
BH21 7,3241
BH21 8,539
BH22 0,7380
BH22 8,10783
BH22 9,9482
BH23 1,5609
BH23 2,12772
BH23 3,9208
BH23 4,10092
BH23 5,7349
BH23 6,741
BH23 7,4971
BH23 8,4561
BH24 1,10507
BH24 2,7908
BH24 3,5187
BH24 4,1290
BH25 5,12364
BH25 6,6644
BH25 7,6629
BH3 7,5626
BH31 6,10190
BH31 7,3464
BH4 8,5206
BH4 9,4417
BH5 1,6748
BH5 2,4515
BH6 3,8691
BH6 4,4039
BH6 5,10473
BH7 6,8020
BH7 7,3690
BH8 0,7347
BH8 8,15176
BH8 9,9600
BH9 1,12673
BH9 2,10457
BH9 3,9438
BL0 0,5586
BL0 9,11722
BL1 1,781
BL1 2,4173
BL1 3,10829
BL1 4,11225
BL1 5,11896
BL1 6,9308
BL1 7,8461
BL1 8,12680
BL2 1,4306
BL2 2,8918
BL2 3,8296
BL2 4,4749
BL2 5,10383
BL2 6,10563
BL3 1,12320
BL3 2,12376
BL3 3,15899
BL3 4,15804
BL3 5,8772
BL3 6,6712
BL4 0,10739
BL4 7,7504
BL4 8,8371
BL4 9,8826
BL5 1,2471
BL5 2,12615
BL5 3,12379
BL6 4,6570
BL6 5,10651
BL6 6,7570
BL6 7,6520
BL7 0,3244
BL7 8,626
BL7 9,11306
BL8 1,12572
BL8 2,10638
BL8 3,7780
BL8 4,5156
BL9 0,3676
BL9 5,6630
BL9 6,10339
BL9 7,10662
BL9 8,8821
BL9 9,12179
BN1 1,1878
BN1 2,4433
BN1 3,10385
BN1 4,8668
BN1 5,10575
BN1 6,17321
BN1 7,8143
BN1 8,14691
BN1 9,8738
BN10 7,9307
BN10 8,10609
BN11 1,5062
BN11 2,9173
BN11 3,5067
BN11 4,8846
BN11 5,6293
BN12 4,8910
BN12 5,4749
BN12 6,9017
BN13 1,9006
BN13 2,10711
BN13 3,10884
BN14 0,5730
BN14 7,10962
BN14 8,6792
BN14 9,7604
BN15 0,8904
BN15 8,7876
BN15 9,11440
BN16 1,6873
BN16 2,6853
BN16 3,8363
BN16 4,7769
BN17 5,6792
