name,population
ASHFAQ,3
ASHIR,3
ASHIRA,3
ASHISH,3
ASHLEE,3
ASHLEEN,11
ASHLEIGH,28
ASHLEY,111
ASHLEY-JUNIOR,4
ASHLING,3
ASHLYN,5
ASHRAF,8
ASHTON,122
ASHVIK,6
ASHVIKA,4
ASHVIN,3
ASHWIN,20
ASIA,23
ASIF,4
ASIL,5
ASIM,16
ASINAT,3
ASIYA,63
ASIYAH,60
ASLAM,4
ASLAN,24
ASLI,3
ASLIHAN,7
ASMA,36
ASMAA,12
ASMARA,3
ASMIN,6
ASNA,4
ASPEN,28
ASPYN,4
ASRA,14
ASSER,7
ASSIA,3
ASSIYA,3
ASTA,9
ASTER,39
ASTON,60
ASTORIA,4
ASTRA,9
ASTRAEA,3
ASTRID,209
ASWIN,3
ASYA,26
ATA,7
ATALIA,6
ATANAS,4
ATARA,3
ATARAH,19
ATENA,5
ATENE,7
ATES,4
ATHALIA,7
ATHALIAH,4
ATHANASIOS,15
ATHARV,26
ATHARVA,19
ATHAVAN,4
ATHEA,19
ATHEER,3
ATHENA,277
ATHENA-ROSE,10
ATHENAIS,3
ATHENE,4
ATHINA,8
ATHIRAN,3
ATIF,5
ATIFA,4
ATILLA,3
ATINUKE,3
ATIYA,4
ATLANTA,17
ATLANTIS,4
ATLAS,161
ATLEY,4
ATREUS,16
ATREYU,5
ATRISA,5
ATTICUS,118
ATTILA,14
ATTLEE,3
AUBEN,3
AUBIN,3
AUBREE,133
AUBREY,298
AUBREY-ROSE,4
AUBRIE,27
AUBRIELLA,4
AUBRIELLE,5
AUDEN,15
AUDIE,3
AUDLEY,4
AUDREY,141
AUGUST,100
AUGUSTA,7
AUGUSTAS,9
AUGUSTE,7
AUGUSTIN,12
AUGUSTINE,10
AUGUSTUS,24
AUM,3
AUN,9
AURA,65
AURAELIA,8
AUREA,4
AUREJA,4
AUREL,9
AURELE,3
AURELIA,250
AURELIAN,3
AURELIE,11
AURELIO,13
AURELIUS,10
AUREYA,3
AURI,8
AURIANNA,3
AURIELLA,5
AURLA,5
AURON,4
AURORA,910
AURORA-LEIGH,4
AURORA-LILY,3
AURORA-MAE,11
AURORA-MAI,4
AURORA-MAY,3
AURORA-RAE,3
AURORA-ROSE,19
AURYN,4
AUSTEJA,4
AUSTEN,13
AUSTIN,481
AUSTYN,4
AUTUMN,481
AUTUMN-GRACE,6
AUTUMN-LILY,3
AUTUMN-RAE,8
AUTUMN-ROSE,38
AVA,2576
AVA-GRACE,93
AVA-JANE,3
AVA-LEE,5
AVA-LEIGH,33
AVA-LILLY,3
AVA-LILY,9
AVA-LOUISE,12
AVA-MAE,110
AVA-MAI,29
AVA-MARIA,6
AVA-MARIE,16
AVA-MAY,28
AVA-NICOLE,3
AVA-NOOR,4
AVA-RAE,25
AVA-ROSE,153
AVAAN,4
AVAANI,25
AVAH,23
AVAH-LEIGH,3
AVAIYAH,5
AVALEIGH,7
AVALEY,3
AVALIE,4
AVALINA,3
AVALON,9
AVALYN,7
AVALYNN,3
AVAN,5
AVANA,12
AVANGELINE,3
AVANI,40
AVANTHIKA,4
AVANTIKA,3
AVARIE,5
AVARNI,3
AVARY,3
AVAYA,28
AVAYA-GRACE,3
AVAYA-ROSE,3
AVAYAH,18
AVAYAH-ROSE,3
AVEER,16
AVEERA,3
AVELINA,3
AVELINE,7
AVELLA,3
AVELYN,4
AVEN,4
AVERIE,24
AVERLY,4
AVERY,227
AVERY-MAY,3
AVERY-ROSE,3
AVESTA,7
AVEYAH,3
AVI,42
AVIA,6
AVIAH,3
AVIANA,13
AVIANNA,14
AVIE,41
AVIE-MAE,3
AVIELLA,4
AVIELLE,6
AVIGAIL,6
AVIGAYIL,4
AVIK,10
AVIKA,8
AVIN,4
AVINA,5
AVINASH,3
AVIR,6
AVIRA,10
AVIRAAJ,3
AVIRAJ,30
AVISHKA,3
AVITAAZ,3
AVLEEN,22
AVNEET,41
AVNER,3
AVNI,30
AVNOOR,17
AVRAAM,3
AVRAHAM,7
AVRAJ,9
AVRAM,11
AVREEN,10
AVREET,5
AVRIL,10
AVROHOM,16
AVRUMI,8
AVYAAN,46
AVYAN,18
AVYANNA,3
AVYAY,4
AVYUKT,12
AWA,14
AWAAB,3
AWAB,6
AWAD,3
AWAIS,23
AWEL,4
AWEN,10
AWIL,3
AWS,3
AXEL,411
AXEL-JAMES,3
AXELL,5
AXL,34
AXLE,3
AXON,3
AXTON,22
AYA,192
AYAAN,394
AYAANA,24
AYAANAH,4
AYAANSH,11
AYAAT,40
AYAAZ,6
AYAD,7
AYAH,265
AYAH-NOOR,3
AYAH-NUR,4
AYALA,10
AYAN,221
AYANA,67
AYANAH,16
AYANNA,29
AYANSH,19
AYASH,6
AYAT,266
AYAT-NOOR,5
AYAZ,63
AYCE,5
AYDA,267
AYDA-GRACE,7
AYDA-MAE,3
AYDA-MAY,3
AYDA-ROSE,4
AYDAH,7
AYDAN,31
AYDEN,149
AYDIN,98
AYEN,3
AYESHA,152
AYEZA,60
AYEZAH,4
AYHAM,9
AYHAN,8
AYIA,3
AYISHA,8
AYKIZ,5
AYLA,793
AYLA-MAE,15
AYLA-MAI,4
AYLA-MARIE,4
AYLA-MAY,3
AYLA-NOOR,3
AYLA-RAE,8
AYLA-ROSE,17
AYLAA,3
AYLAH,36
AYLAN,6
AYLEEN,19
AYLIN,43
AYLIZ,17
AYLLA,5
AYMA,9
AYMAN,112
AYMEN,15
AYNA,5
AYNI,3
AYNOOR,7
AYNUR,3
AYO,4
AYOBAMI,3
AYODEJI,5
AYODELE,3
AYOMIDE,22
AYOMIKUN,7
AYON,3
AYOUB,34
AYRA,167
AYRAH,25
AYRIN,4
AYRON,3
AYRTON,31
AYSE,16
AYSEL,7
AYSHA,63
AYSON,3
AYUB,76
AYUSH,17
AYUUB,4
AYVA,42
AYVAH,16
AYVAN,3
AYVEN,8
AYYAN,10
AYYAT,4
AYYUB,91
AYZA,15
AYZAAN,3
AYZAH,5
AYZAL,78
AYZEL,35
AZAAN,144
AZAD,16
AZAHEL,4
AZAI,11
AZAIAH,21
AZALEA,44
AZALIA,7
AZAM,4
AZAN,19
AZAR,3
AZAREL,3
AZARI,18
AZARIA,30
AZARIAH,53
AZARIYAH,6
AZAYA,12
AZAYAH,9
AZAYLIA,15
AZAYLIAH,3
AZEEM,12
AZEEZ,5
AZEL,4
AZER,3
AZHAAN,6
AZHAR,6
AZIAH,24
AZIEL,26
AZIM,7
AZIZ,18
AZIZA,15
AZIZAH,4
AZKA,11
AZLAAN,15
AZLAN,52
AZMI,4
AZMIN,3
AZORA,3
AZRA,34
AZRAEL,8
AZRAH,8
AZRIEL,12
AZRYAH,8
AZUOLAS,7
AZURI,3
AZZA,3
AZZURRA,9
BAANI,39
BABY,32
BADR,7
BAHAR,10
BAILEE,19
BAILEY,284
BAILEY-JAMES,4
BAILEY-JAY,3
BAILIE,5
BAKER,5
BALAAJ,3
BALAJ,3
BALI,5
BALRAJ,4
BALTHAZAR,4
BAM,3
BAMBI,4
BANA,8
BANE,4
BANEEN,3
BANI,11
BANKS,11
BANKSY,3
BARAA,3
BARAKAH,9
BARAN,22
BARBARA,23
BARBORA,5
BARCLAY,3
BAREEN,3
BAREERA,4
BAREERAH,7
BARLEY,3
BARNABAS,17
BARNABY,222
BARNEY,195
BARNIE,9
BARRY,9
BARSAM,3
BARTEK,7
BARTHOLOMEW,12
BARTLEY,3
BARTLOMIEJ,3
BARTOSZ,20
BASEM,3
BASHIR,3
BASHKIM,3
BASIL,28
BASIT,4
BASMA,8
BASSY,3
BASTIAN,7
BATOOL,6
BATSHEVA,10
BATU,4
BATYA,4
BAWAN,7
BAXTER,33
BAY,16
BAYA,3
BAYAAN,3
BAYAN,18
BAYLEE,9
BAYLEIGH,10
BAYLEIGH-RAE,3
BAYLEY,10
BAZ,3
BAZIL,3
BEA,50
BEAR,108
BEAR-BEAU,3
BEATRICE,515
BEATRICE-ELENA,3
BEATRIS,4
BEATRIX,314
BEATRIZ,38
BEAU,620
BEAUDEN,88
BEAUMONT,7
BEAUX,20
BEBE,5
BECA,16
BECK,16
BECKETT,18
BEDWYR,3
BEE,13
BEGW,6
BEHRAM,3
BEILY,6
BEKIR,3
BELA,10
BELAL,3
BELEN,4
BELINDA,4
BELLA,730
BELLA-LOUISE,3
BELLA-MAE,13
BELLA-MAI,5
BELLA-MARIE,3
BELLA-MAY,6
BELLA-RAE,24
BELLA-ROSE,104
BELLAMY,9
BELLAROSE,8
BELLATRIX,9
BELLE,147
BELOSLAVA,3
BEN,128
BENAIAH,6
BENAS,27
BENCE,7
BENEDEK,3
BENEDICT,57
BENEDIKT,3
BENEDIKTAS,4
BENEDITA,5
BENETT,6
BENI,4
BENIAMIN,22
BENICIO,9
BENJAMIM,6
BENJAMIN,1423
BENJI,30
BENNETT,15
BENNI,3
BENNIE,11
BENNY,39
BENSON,9
BENTLEY,56
BENYAMEEN,4
BENYAMIN,17
BEORN,5
BERAT,3
BEREN,9
BERISH,5
BERKAN,4
BERKAY,4
BERNADETTE,11
BERNARD,41
BERNARDO,21
BERNICE,3
BERNIE,30
BERRY,6
BERT,3
BERTIE,246
BERTRAM,17
BERTRAND,4
BERTY,3
BERWYN,3
BERYL,5
BESS,4
BESSIE,23
BETANIA,5
BETELHEM,3
BETH,23
BETHAN,28
BETHANY,219
BETHEL,10
BETHLEHEM,3
BETI,7
BETSAN,9
BETSI,17
BETSIE,16
BETSY,286
BETSY-BLU,4
BETSY-LOU,5
BETSY-MAE,5
BETTE,5
BETTIE,8
BETTY,109
BETTY-LOU,3
BETTY-ROSE,4
BETZALEL,3
BEULAH,8
BEXLEY,5
BEYZA,7
BEZALEL,3
BHAGAT,3
BHARGAV,4
BHAVYA,3
BHODI,4
BIANCA,97
BIANKA,36
BIBI,23
BIHAAN,3
BIHANI,3
BILAAL,6
BILAL,83
BILL,11
BILLIE,223
BILLIE-BEAU,3
BILLIE-JO,12
BILLIE-MAE,13
BILLIE-MAY,5
BILLIE-RAE,4
BILLIE-ROSE,13
BILLY,446
BILLY-JAMES,3
BILLY-JAY,3
BILLY-JOE,14
BILLY-LEE,4
BILLY-RAY,4
BILLYJOE,3
BINKIE,3
BINKY,6
BINTA,4
BINTOU,5
BINYAMIN,9
BINYOMIN,12
BIRDIE,34
BISMA,16
BISMAH,5
BITA,3
BITANIA,3
BITANYA,3
BJORN,55
BLADE,3
BLAINE,10
BLAIR,56
BLAIRE,9
BLAISE,18
BLAIZE,4
BLAKE,873
BLAKELEY,3
BLAKELY,27
BLANCA,8
BLANKA,41
BLAYKE,14
BLAYNE,5
BLAZE,14
BLAZEJ,3
BLEDDYN,5
BLEN,3
BLESS,4
BLESSING,27
BLEU,57
BLEUBELLE,3
BLIGH,12
BLIMA,3
BLIMI,7
BLISS,7
BLOOM,15
BLOSSOM,141
BLOSSOM-ROSE,4
BLOUSEY,4
BLOUSIE,4
BLU,30
BLUBELLE,3
BLUE,39
BLUEBELL,28
BLUEBELLE,20
BLUEY,4
BLYTHE,17
BO,36
BOAZ,26
BOBBI,41
BOBBI-MAE,3
BOBBIE,91
BOBBY,777
BOBBY-GEORGE,4
BOBBY-JACK,3
BOBBY-JAMES,6
BOBBY-JOE,6
BOBBY-LEE,9
BOBI,11
BODE,8
BODEN,41
BODEY,4
BODHI,427
BODI,7
BODIE,60
BOE,26
BOGDAN,31
BOHDAN,3
BOHDEN,6
BOHDI,18
BOHDIE,3
BOIKEN,5
BOJIDAR,3
BOLAN,3
BONITA,7
BONNIE,1121
BONNIE-ANN,4
BONNIE-BEAU,3
BONNIE-BLEU,6
BONNIE-BLU,8
BONNIE-BLUE,5
BONNIE-BOW,3
BONNIE-GRACE,4
BONNIE-JO,5
BONNIE-LEA,3
BONNIE-LEE,5
BONNIE-LEIGH,18
BONNIE-LOUISE,4
BONNIE-MAE,29
BONNIE-MAI,9
BONNIE-MARIE,6
BONNIE-MAY,7
BONNIE-RAE,27
BONNIE-RAI,4
BONNIE-ROSE,28
BONNY,9
BORA,15
BORAN,3
BORIS,39
BORISA,5
BORISLAV,4
BORYS,11
BOSCO,6
BOSTON,17
BOUDICA,4
BOW,21
BOWDEN,3
BOWE,4
BOWEN,40
BOWIE,106
BOYCIE,4
BOYD,3
BOZHIDAR,6
BOZHIDARA,5
BRAD,7
BRADEN,6
BRADLEY,175
BRADY,27
BRAE,9
BRAIDEN,6
BRAIDY,3
BRAM,12
BRAMWELL,4
BRAN,5
BRANDON,72
BRANDON-LEE,3
BRANWEN,3
BRAX,9
BRAXTON,26
BRAY,9
BRAYAN,12
BRAYDEN,51
BRAYDEN-LEE,3
BRAYDON,14
BRAYEN,7
BRAYLEN,11
BRAYLON,15
BRAYSON,7
BREA,8
BREANNA,8
BREE,15
BREINDY,5
BRENDA,3
BRENDAN,16
BRENDON,12
BRENNAN,5
BRENNEN,3
BRETT,9
BRIA,19
BRIAN,79
BRIANA,13
BRIANNA,101
BRIANNA-MAE,3
BRIANNE,3
BRIAR,15
BRIAR-ROSE,4
BRIDEY,4
BRIDGET,53
BRIDIE,19
BRIE,5
BRIEANNA,3
BRIELLA,24
BRIELLE,43
BRIENNA,4
BRIENNE,4
BRIGHT,5
BRIGID,3
BRIGITTE,3
BRINLEY,11
BRIONY,9
BRITNEY,7
BRITTANY,6
BRIXTON,3
BROCK,8
BRODEE,4
BRODEN,4
BRODEY,5
BRODHI,4
BRODI,18
BRODIE,398
BRODIE-LEE,14
BRODIE-RAE,3
BRODY,648
BRODY-LEE,17
BRODY-RAY,3
BROGAN,23
BROLY,7
BRON,5
BRONSON,6
BRONTE,32
BRONWEN,15
BRONWYN,7
BROOK,10
BROOKE,207
BROOKE-LYN,3
BROOKLYN,113
BROOKLYNN,3
BROOKS,16
BRUCE,49
BRUCHI,4
BRUK,5
BRUNA,4
BRUNO,98
BRYAN,55
BRYANNA,4
BRYCE,18
BRYCHAN,3
BRYDIE,4
BRYDON,3
BRYHER,5
BRYN,23
BRYNLEY,7
BRYONY,37
BRYSON,36
BUCKLEY,4
BUDDIE,4
BUDDY,107
BUDDY-BEAR,3
BUDE,3
BUGLEM,3
BUGSY,5
BULUT,3
BUNNIE,4
BUNNY,3
BUNTY,3
BURAK,9
BURAQ,4
BURHAN,15
BURHANUDDIN,3
BURUK,4
BUSBY,7
BUSHRA,21
BUSTER,14
BUZZ,14
BYRON,38
C,3
CABEN,11
CADAN,5
CADE,34
CADEN,48
CADENCE,14
CADHLA,6
CADI,41
CADIE,5
CAEDEN,3
CAELAN,70
CAELEB,4
CAELEN,4
CAERWYN,4
CAESAR,6
CAI,56
CAIA,11
CAIAN,3
CAIDEN,38
CAILAN,5
CAIN,21
CAINE,5
CAIO,28
CAIRA,6
CAIRO,113
CAIRON,5
CAISON,7
CAITLIN,77
CAITLYN,25
CAIUS,15
CAL,3
CALAEB,6
CALEB,758
CALEIGH,5
CALEN,5
CALI,80
CALI-MAE,4
CALIN,3
CALISTA,12
CALIX,6
CALLA,7
CALLAHAN,4
CALLAN,30
CALLEN,14
CALLI,5
CALLIA,4
CALLIE,296
CALLIE-MAE,3
CALLIE-MARIE,3
CALLIE-RAE,5
CALLIE-ROSE,14
CALLIOPE,26
CALLISTA,12
CALLISTO,3
CALLUM,292
CALLY,12
CALUM,11
CALVIN,57
CALYPSO,3
CAMDEN,18
CAMELIA,17
CAMELLIA,4
CAMERON,291
CAMI,5
CAMILA,43
CAMILLA,88
CAMILLE,75
CAMILO,8
CAMMIE,4
CAMPBELL,8
CAMREN,3
CAMRON,5
CAN,8
CANAAN,3
CANDACE,6
CANDICE,9
CAOILINN,3
CAOIMHE,36
CAOLAN,13
CAPRI,12
CAPRICE,5
CARA,123
CARI,11
CARIAD,6
CARINA,22
CARIS,4
CARISSA,6
CARL,11
CARLA,75
CARLIE,3
CARLISLE,6
CARLO,26
CARLOS,22
CARLOTA,11
CARLOTTA,9
CARLTON,6
CARLTON-JUNIOR,3
CARLY,12
CARMEL,4
CARMELA,7
CARMELLA,3
CARMELLO,4
CARMELO,11
CARMEN,49
CAROL,14
CAROLINA,33
CAROLINE,30
CAROLYN,4
CARRIE,11
CARSEN,4
CARSON,153
CARSON-JAI,3
CARSON-JAMES,5
CARSON-LEE,3
CARTER,825
CARTER-JAE,4
CARTER-JAMES,13
CARTER-JAY,11
CARTER-JOHN,10
CARTER-LEE,9
CARTER-RAY,5
CARTIA,4
CARTIER,3
CARWYN,8
CARYS,48
CASANDRA,3
CASEN,6
CASEY,168
CASEY-JAMES,5
CASEY-MAE,4
CASH,28
CASI,7
CASIAN,23
CASIANA,5
CASIE,4
CASIMIR,3
CASON,8
CASPAR,77
CASPER,251
CASPIAN,67
CASS,25
CASSANDRA,50
CASSIA,29
CASSIAN,74
CASSIDY,61
CASSIE,75
CASSIEL,4
CASSIOPEIA,5
CASSIUS,167
CASTIEL,16
CATALEYA,92
CATALIN,5
CATALINA,28
CATARINA,14
CATERINA,8
CATHAL,4
CATHERINE,95
CATO,4
CATRIN,13
CATRIONA,6
CATTLEYA,6
CAULEY,3
CAVALLI,5
CAVAN,11
CAVANI,4
CAYDE,14
CAYDEN,48
CAYLA,6
CAYLAN,3
CAYLEN,3
CAYLUS,3
CAYSON,23
CECE,54
CECELIA,62
CECIL,4
CECILE,9
CECILIA,155
CECILIE,5
CECILY,53
CEDAR,4
CEDRIC,16
CEEJAY,11
CELESTE,64
CELESTINE,8
CELIA,44
CELINA,20
CELINE,104
CELLAN,3
CELLINE,3
CELT,12
CELYN,27
CERISE,3
CERYS,49
CET,3
CEZAR,32
CEZARY,11
CHACE,8
CHAD,4
CHADWICK,4
CHAIM,43
CHAITANYA,3
CHANA,19
CHANAI,3
CHANCE,26
CHANEL,16
CHANELLE,3
CHANI,9
CHANNAH,3
CHANTELLE,15
CHANY,3
CHARAN,3
CHARDONNAY,5
CHARIS,11
CHARLEE,12
CHARLEIGH,5
CHARLENE,5
CHARLES,639
CHARLEY,38
CHARLEY-ROSE,3
CHARLI,5
CHARLIE,2723
CHARLIE-JAMES,5
CHARLIE-JAY,5
CHARLIE-JOE,4
CHARLIE-JOHN,3
CHARLIE-RAY,6
CHARLIE-ROSE,3
CHARLOTTE,1654
CHARLOTTE-GRACE,3
CHARLOTTE-ROSE,6
CHARMAINE,6
CHARVI,4
CHARVIK,5
CHASE,122
CHAUDHRY,3
CHAVA,5
CHAVI,7
CHAY,7
CHAYA,40
CHAYCE,6
CHAYSE,7
CHE,17
CHEIKH,3
CHELSEA,47
CHELSIE,4
CHERRY,25
CHESKEL,3
CHESKY,11
CHESTER,680
CHESTER-JAMES,3
CHESTER-LEE,4
CHEYENNE,4
CHI,3
CHIAGOZIEM,3
CHIAMAKA,8
CHIARA,59
CHIBUEZE,5
CHIBUIKEM,5
CHICAGO,4
CHIDERA,13
CHIDIEBUBE,3
CHIDUBEM,3
CHIGOZIRIM,6
CHIKAIMA,4
CHIMAMANDA,23
CHIMBUSOMMA,3
CHIMDINDU,3
CHINEDU,3
CHINEDUM,7
CHINENYE,3
CHINYERE,3
CHIOMA,3
CHISOM,10
CHIZARA,8
CHIZARAM,14
CHIZITEREM,3
CHLOE,932
CHLOE-MAE,3
CHLOE-ROSE,3
CHRIS,26
CHRISLYN,3
CHRISSIE,4
CHRISSY,3
CHRIST,3
CHRISTABEL,14
CHRISTIAN,190
CHRISTIANA,17
CHRISTINA,51
CHRISTINE,24
CHRISTO,4
CHRISTOFER,3
CHRISTOPHER,287
CHRISTOPHER-JUNIOR,3
CHRISTOS,17
CHRISTY,6
CHUKWUEBUKA,3
CHUKWUEMEKA,3
CHUKWUKA,4
CIAN,136
CIANA,10
CIANNA,9
CIARA,78
CIARAN,35
CICELY,10
CICI,14
CIELLA,3
CIELO,3
CIENNA,22
CIENNA-ROSE,3
CIERAN,3
CIHAN,4
CILLIAN,168
CINAR,3
CINDY,12
CIPRIAN,6
CIRILLA,3
CIRO,4
CISSY,3
CJ,12
CJAY,6
CLAIRE,35
CLARA,574
CLARE,10
CLARENCE,7
CLARICE,4
CLARISSA,16
CLARISSE,3
CLARK,45
CLARKE,23
CLAUDIA,78
CLAUDIE,5
CLAUDIO,6
CLAY,68
CLAYE,3
CLAYTON,54
CLAYTON-JAMES,3
CLEA,8
CLELIA,5
CLEMENCE,11
CLEMENCY,12
CLEMENT,17
CLEMENTINE,290
CLEMMIE,37
CLEO,359
CLEOPATRA,24
CLIFFORD,3
CLIO,9
CLIVE,4
CLODAGH,28
CLOE,5
CLOVER,38
CLYDE,6
COADY,10
COBAN,4
COBE,4
COBEN,6
COBEY,9
COBI,12
COBIE,33
COBY,167
COBY-JAMES,6
COBY-LEE,3
COCO,69
CODEE,4
CODEY,11
CODI,7
CODIE,15
CODY,449
CODY-JAMES,9
CODY-LEE,12
CODY-LEIGH,3
COEN,43
COHAN,20
COHEN,93
COLBIE,13
COLBY,136
COLBY-JAMES,3
COLBY-LEE,5
COLE,265
COLETON,3
COLETTE,20
COLIN,34
COLLINS,3
COLM,3
COLMAN,3
COLSON,22
COLT,21
COLTON,58
COLTON-LEE,4
CONALL,20
CONAN,28
CONLAN,3
CONNAH,5
CONNALL,3
CONNELL,15
CONNER,8
CONNIE,338
CONNIE-LEIGH,3
CONNIE-MAE,9
CONNIE-MAI,4
CONNIE-MAY,3
CONNIE-RAE,5
CONNOR,293
CONOR,163
CONRAD,17
CONSTANCE,124
CONSTANTIN,23
CONSTANTINA,3
CONSTANTINE,16
COOPER,396
COOPER-JAMES,5
CORA,349
CORAH,6
CORAL,22
CORALIE,17
CORALINE,6
CORBYN,4
CORDELIA,36
COREY,150
CORIN,10
CORINNE,7
CORMAC,26
CORNELIA,7
CORNELIUS,8
CORY,37
COSETTE,4
COSIMA,18
COSIMO,6
COSMIN,8
COSMO,45
COSTANTINO,3
COURTNEY,25
COVE,20
CRAIG,14
CREE,28
CREED,35
CRESSIDA,13
CREW,17
CRINA,6
CRISTI,4
CRISTIAN,46
CRISTIANO,7
CRISTINA,17
CROIA,10
CROIADH,3
CRU,7
CRUE,9
CRUISE,3
CRUIZ,4
CRUIZE,9
CRUZ,170
CRUZE,31
CRYSTAL,50
CRYSTAL-ROSE,5
CSENGE,3
CSONGOR,4
CUB,5
CULLEN,12
CURTIS,41
CUTHBERT,3
CYDNEY,5
CYNTHIA,10
CYRA,10
CYRIL,4
CYRO,3
CYRUS,56
D'ANDRE,3
DAANISH,3
DAENERYS,4
DAFNE,5
DAFYDD,15
DAHLIA,81
DAIANA,11
DAIRE,5
DAISEY,3
DAISEY-MAE,5
DAISIE,34
DAISIE-MAE,4
DAISIE-RAE,4
DAISY,1873
DAISY-ANNE,4
DAISY-BELLE,3
DAISY-GRACE,7
DAISY-JANE,3
DAISY-JAYNE,3
DAISY-LEIGH,8
DAISY-LOU,5
DAISY-LOUISE,3
DAISY-MAE,60
DAISY-MAI,12
DAISY-MARIE,3
DAISY-MAY,42
DAISY-RAE,12
DAISY-REY,3
DAISY-ROSE,3
DAITHI,4
DAIVIK,6
DAIWIK,5
DAKARI,4
DAKOTA,104
DAKOTA-RAE,4
DAKOTA-ROSE,4
DAKSH,9
DALE,9
DALEY,3
DALEYZA,3
DALI,13
DALIA,44
DALIAH,3
DALILA,5
DALILAH,10
DALIYA,3
DALIYAH,3
DALLAS,20
DALTON,48
DALTON-JAMES,3
DAMARI,9
DAMARIS,12
DAMIAN,164
DAMIAN-ANDREI,3
DAMIEN,52
DAMILARE,3
DAMILOLA,7
DAMION,5
DAMIR,31
DAMON,33
DAMSON,3
DAN,16
DANA,41
DANAE,5
DANAH,3
DANAS,6
DANAYA,6
DANE,7
DANEEN,17
DANEER,3
DANI,22
DANI-LEE,3
DANIA,41
DANIAL,5
DANICA,10
DANIEL,1150
DANIEL-JAMES,4
DANIEL-JOHN,6
DANIEL-JUNIOR,7
DANIELA,41
DANIELE,9
DANIELIS,3
DANIELIUS,15
DANIELLA,73
DANIELLE,29
DANIELS,7
DANIIL,5
DANIKA,3
DANILO,5
DANISH,10
DANIYA,4
DANIYAAL,6
DANIYAL,51
DANNI,8
DANNY,114
DANNYLEE,4
DANTE,71
DANYA,3
DANYAAL,5
DANYAL,38
DANYLO,3
DAOUD,9
DAPHNE,214
DARA,38
DARASIMI,3
DARBY,24
DARCEE,4
DARCEY,350
DARCEY-LEIGH,4
DARCEY-MAE,5
DARCEY-MAY,6
DARCEY-RAE,5
DARCEY-ROSE,6
DARCI,20
DARCIA,4
DARCIE,623
DARCIE-ANNE,4
DARCIE-GRACE,5
DARCIE-JO,3
DARCIE-LEIGH,16
DARCIE-MAE,41
DARCIE-MAI,8
DARCIE-MAY,9
DARCIE-RAE,31
DARCIE-ROSE,23
DARCY,364
DARCY-LEIGH,4
DARCY-MAE,15
DARCY-MAI,3
DARCY-MAY,3
DARCY-RAE,7
DARCY-ROSE,5
DAREEN,4
DARIA,131
DARIA-MARIA,4
DARIAN,19
DARIEN,3
DARIN,6
DARINA,6
DARIO,33
DARION,3
DARIS,4
DARIUS,133
DARIUS-ANDREI,3
DARIYA,7
DARLA,80
DARLA-MAE,4
DARLA-RAE,5
DARLA-ROSE,7
DARLEY,4
DARLIA,6
DARLIE,4
DARNELL,3
DARRAGH,28
DARREN,19
DARRIN,3
DARSH,6
DARSHAN,4
DARSIE,3
DARWIN,21
DARYA,11
DARYAN,5
DARYL,5
DASH,7
DASHA,6
DASHIEL,3
DASHIELL,10
DASTAN,5
DASTIN,3
DAUD,15
DAVE,10
DAVI,21
DAVIAN,4
DAVID,961
DAVID-ALEXANDRU,4
DAVID-ANDREI,10
DAVID-GABRIEL,7
DAVID-JAMES,5
DAVID-JUNIOR,3
DAVID-STEFAN,3
DAVIDE,10
DAVIN,9
DAVINA,13
DAVIS,6
DAVY,3
DAVYN,3
DAWID,40
DAWIT,6
DAWN,5
DAWOOD,26
DAWOUD,18
DAWSEY,4
DAWSON,69
DAWUD,109
DAX,33
DAXON,5
DAXTON,18
DAYA,30
DAYAN,3
DAYANA,17
DAYANNA,3
DAYLEN,4
DAYNA,4
DAYTON,6
DAYYAN,7
DEA,12
DEACON,55
DEAGLAN,3
DEAN,64
DEANA,3
DEANDRE,3
DEANNA,7
DEBBIE,4
DEBORA,14
DEBORAH,45
DECLAN,112
DEEDEE,3
DEEGAN,4
DEEM,8
DEEMA,4
DEEN,68
DEENA,13
DEEP,4
DEEYA,4
DEFNE,9
DEIA,10
DEIAN,4
DEIMANTAS,5
DEIMANTE,3
DEINA,3
DEINAS,4
DEIO,12
DEIVIDAS,4
DEIVIDS,3
DEJA,3
DEKOTA,3
DEL,3
DELA,3
DELAINEY,3
DELANA,3
DELANEY,13
DELANIE,3
DELARA,6
DELIA,54
DELILA,4
DELILAH,981
DELILAH-ANN,3
DELILAH-BLEU,3
DELILAH-BLU,3
DELILAH-GRACE,10
DELILAH-MAE,9
DELILAH-MAI,4
DELILAH-MAY,7
DELILAH-RAE,20
DELILAH-ROSE,81
DELINA,9
DELIYLAH,4
DELLA,20
DELPHI,20
DELPHINE,27
DELSA,6
DELSIE,4
DELTA,8
DELTON,3
DELVIN,5
DELYLAH,5
DELYTH,4
DEMELZA,11
DEMETRA,4
DEMETRIA,3
DEMI,91
DEMI-LEE,3
DEMI-LEIGH,16
DEMI-RAE,3
DEMIAN,3
DEMID,3
DEMILADE,9
DEMIR,15
DEMPSEY,6
DENAS,13
DENBY,3
DENIEL,3
DENIRO,3
DENIS,135
DENIS-IONUT,3
DENISA,16
DENISE,3
DENISLAV,4
DENITSA,3
DENIZ,67
DENLEY,6
DENNI,9
DENNIE,10
DENNIS,126
DENNIS-JOHN,3
DENNY,49
DENVER,55
DENYS,3
DENZEL,23
DEON,27
DEONTAE,3
DEONTAY,6
DEONTE,4
DEREK,19
DERICK,8
DERIN,9
