name,population
ADRINA,3
ADVAIT,8
ADVAITH,8
ADVAY,5
ADVIK,36
ADVIKA,17
ADWOA,6
ADYA,5
ADYAAN,9
ADYAN,37
AEDAN,6
AELA,11
AELFWYNN,3
AELIANA,3
AELLA,4
AEMILIA,4
AERIN,5
AERIS,4
AERITH,7
AERON,8
AERYN,12
AESHA,3
AESON,4
AETHER,5
AEVA,6
AFAAN,3
AFAN,5
AFEIDA,3
AFENI,3
AFFAAN,6
AFFAN,15
AFIA,11
AFIFA,9
AFIYA,9
AFIYAH,34
AFNAAN,3
AFNAN,24
AFOLABI,3
AFONSO,18
AFRA,9
AFRAA,3
AFRAH,3
AFRAHIM,4
AFREEN,10
AFRICA,3
AFSA,7
AFSANA,5
AFSHEEN,4
AGAM,20
AGAMBIR,5
AGAMDEEP,5
AGAMJOT,9
AGAMVEER,6
AGAPE,3
AGARAN,3
AGASTYA,24
AGATA,17
AGATHA,40
AGATHE,3
AGGELOS,7
AGNES,108
AGOTA,3
AHAAN,21
AHAANA,13
AHAD,58
AHAN,4
AHANA,19
AHARAN,5
AHARON,9
AHIL,13
AHIYAAN,4
AHLA,3
AHLAAM,4
AHLAM,7
AHMAD,186
AHMADOU,6
AHMED,254
AHMET,12
AHNAF,13
AHRI,5
AHRON,10
AHSAAN,3
AHSAN,13
AHSEN,3
AHUVA,4
AHYAAN,3
AHYAN,16
AICHA,3
AIDA,138
AIDAH,11
AIDAN,289
AIDEN,469
AIDEN-JAMES,3
AIDRIC,3
AIDY,4
AIFE,3
AIHAN,6
AIKA,3
AIKATERINI,5
AIKO,4
AILA,99
AILAH,3
AILBE,3
AILBHE,17
AILEEN,4
AILIE,4
AILIS,3
AILISH,6
AILSA,21
AILYN,6
AIMA,30
AIMAH,5
AIMAN,38
AIMEE,28
AIMEN,6
AIN,3
AINA,3
AINE,26
AINSLEIGH,3
AINSLEY,14
AIRA,25
AIRAH,25
AIRLIE,4
AISA,5
AISHA,414
AISHA-NOOR,3
AISHAH,27
AISLA,6
AISLING,19
AISLINN,3
AISOSA,4
AITANA,7
AITHAN,3
AIVA,11
AIVAH,5
AIYA,24
AIYAN,3
AIYANA,19
AIYANNA,5
AIYAZ,4
AIYDEN,3
AIYLA,101
AIYLA-NOOR,3
AIYLAH,11
AIYZA,4
AIZA,149
AIZAH,133
AIZAL,7
AIZEL,7
AIZEN,10
AJ,34
AJA,3
AJAIB,4
AJAN,6
AJANI,7
AJAX,9
AJAY,42
AJEET,11
AJIT,11
AJLA,11
AJMAL,3
AJOONI,21
AJUNI,6
AJUS,6
AJWA,24
AKAAL,14
AKARAN,5
AKARI,7
AKASH,10
AKAY,3
AKBAR,3
AKEEL,5
AKEELAH,3
AKEEM,15
AKHIL,3
AKI,4
AKILAH,3
AKILAN,3
AKIM,23
AKIN,3
AKIRA,38
AKIVA,14
AKOS,5
AKRAM,32
AKSA,3
AKSEL,14
AKSH,4
AKSHAR,6
AKSHARA,15
AKSHAY,5
AKSHAYA,6
AKSHAYAN,4
AKUA,5
AKVILE,3
AL,11
AL-AMIN,3
ALAA,21
ALAAYA,5
ALABAMA,5
ALAIA,163
ALAIA-MAE,6
ALAIA-MARIE,3
ALAIA-RAE,5
ALAIA-ROSE,5
ALAIAH,4
ALAIKA,3
ALAINA,59
ALAIYA,36
ALAIYAH,17
ALAIZA,7
ALAKAI,4
ALAN,127
ALANA,244
ALANA-ROSE,9
ALANAH,19
ALANAS,3
ALANI,28
ALANIS,4
ALANNA,58
ALANNAH,48
ALANNAH-ROSE,3
ALANYA,5
ALARA,86
ALARA-ROSE,3
ALARAH,5
ALARIC,9
ALARNA,16
ALARNAH,3
ALARNI,4
ALASDAIR,17
ALASKA,21
ALASTAIR,35
ALAW,15
ALAYA,169
ALAYA-GRACE,4
ALAYA-NUR,3
ALAYA-ROSE,5
ALAYAH,110
ALAYAH-GRACE,3
ALAYAH-MAE,4
ALAYAH-RAE,4
ALAYAH-ROSE,5
ALAYHA,6
ALAYKA,3
ALAYLAH,3
ALAYNA,203
ALAYNAH,12
ALAZ,11
ALBA,352
ALBA-ROSE,3
ALBAN,15
ALBANY,4
ALBEE,5
ALBEN,3
ALBERT,1091
ALBERT-JAMES,3
ALBERTA,4
ALBERTINA,3
ALBERTINE,4
ALBERTO,24
ALBEY,7
ALBI,53
ALBIE,1729
ALBIE-BEAU,3
ALBIE-GEORGE,6
ALBIE-JACK,4
ALBIE-JAMES,18
ALBIE-JAX,4
ALBIE-JAY,8
ALBIE-JOHN,6
ALBIE-LEE,9
ALBION,6
ALBORZ,4
ALBUS,6
ALBY,72
ALBY-LEE,3
ALDEN,15
ALDO,10
ALDOUS,3
ALDRIN,3
ALEA,25
ALEAH,17
ALEC,55
ALECIA,4
ALECZANDER,3
ALED,10
ALEEHA,11
ALEEM,11
ALEEMA,7
ALEEN,16
ALEENA,180
ALEENAH,4
ALEESA,4
ALEESHA,10
ALEEYA,4
ALEEYAH,3
ALEEZA,34
ALEEZAH,4
ALEEZAY,3
ALEHA,8
ALEIA,11
ALEINA,3
ALEJANDRA,4
ALEJANDRO,22
ALEK,7
ALEKS,24
ALEKSANDAR,14
ALEKSANDER,141
ALEKSANDR,14
ALEKSANDRA,49
ALEKSANDRS,3
ALEKSEI,4
ALEKSEJ,3
ALEKSEY,3
ALEKSI,3
ALEN,5
ALENA,30
ALESHA,21
ALESIA,20
ALESIO,5
ALESSA,4
ALESSANDRA,13
ALESSANDRO,61
ALESSIA,161
ALESSIO,38
ALESSYA,5
ALETHEA,15
ALETHEIA,9
ALEX,489
ALEXA,15
ALEXANDAR,3
ALEXANDER,1830
ALEXANDR,8
ALEXANDRA,318
ALEXANDRE,24
ALEXANDRIA,30
ALEXANDRINA,5
ALEXANDRO,4
ALEXANDROS,50
ALEXANDRU,128
ALEXEI,7
ALEXI,6
ALEXIA,44
ALEXINA,3
