name,population
JUSTIN,10425
JUSTINE,1044
JYE,88
KAI,3809
KAIA,272
KAITLYN,931
KANE,237
KAREN,22395
KARINA,342
KARL,71
KATE,8897
KATELYN,260
KATHERINE,7670
KATHLEEN,6041
KATHRYN,8357
KATIE,4651
KATRINA,5628
KAY,1652
KAYE,72
KAYLA,3978
KEIRA,501
KEITH,2599
KELLIE,2769
KELLY,8032
KELVIN,312
KENNETH,6412
KERRIE,5289
KERRY,7747
KEVIN,11147
KIARA,1475
KIERAN,700
KIM,14567
KIMBERLEY,1983
KIMBERLY,161
KIRSTY,1723
KOA,556
KOBY,336
KRISTEN,749
KRISTIE,757
KRISTY,5299
KRYSTAL,595
KURT,1238
KYE,196
KYLE,4457
KYLIE,12571
LACHLAN,18344
LAINEY,192
LANCE,64
LARA,3434
LARRY,613
LAURA,8714
LAUREN,12034
LAURENCE,312
LAWRENCE,369
LAYLA,3580
LEAH,3463
LEANNE,10336
LEE,2698
LEIGH,156
LENNOX,637
LEO,5341
LEON,1283
LEONARD,580
LEONARDO,757
LEONIE,3225
LESLEY,2238
LESLIE,2627
LEVI,5271
LEXI,148
LIAM,15000
LILLIAN,778
LILLY,1843
LILY,8235
LINCOLN,2237
LINDA,11014
LINDSAY,697
LISA,18706
LOGAN,4854
LOLA,1573
LORRAINE,2782
LOTTIE,153
LOUIE,267
LOUIS,1966
LOUISE,9301
LUCA,4498
LUCAS,10235
LUCIA,268
LUCY,7533
LUKA,864
LUKE,25643
LUNA,1240
LYLA,168
LYNDA,1245
LYNETTE,7482
LYNN,530
LYNNE,1736
MABEL,77
MACKENZIE,2660
MADDISON,5395
MADELEINE,3257
MADELINE,2626
MADISON,4563
MAEVE,767
MAGGIE,77
MAISIE,253
MAKAYLA,282
MALAKAI,85
MALCOLM,3308
MARC,229
MARCUS,3447
MAREE,2933
MARGARET,10461
MARGOT,239
MARIA,8840
MARIAM,473
MARIE,1130
MARILYN,1293
MARION,313
MARK,43417
MARTIN,6105
MARY,7311
MARYAM,643
MASON,4751
MATEO,213
MATHEW,7436
MATILDA,5685
MATTEO,208
MATTHEW,49426
MAUREEN,1831
MAURICE,56
MAVERICK,175
MAX,8210
MAXINE,74
MAXWELL,986
MAYA,3209
MEGAN,8519
MELANIE,5982
MELINDA,3620
MELISSA,18165
MIA,11223
MICAH,90
MICHAEL,71007
MICHEAL,881
MICHELE,3029
MICHELLE,25874
