file_name,file_path,word_count,char_count,runs,min_ms,mean_ms,p50_ms,p95_ms,max_ms,mean_server_ms
10k.txt,/Users/gongahkia/Desktop/coding/smu/Noupe/test/fixtures/latency-corpus/10k.txt,10368,76943,5,4481.741,4695.885,4669.07,4972.58,5021.964,4683.77
1k.txt,/Users/gongahkia/Desktop/coding/smu/Noupe/test/fixtures/latency-corpus/1k.txt,1334,8728,5,1146.282,1257.774,1186.725,1457.092,1496.505,1253.124
2k.txt,/Users/gongahkia/Desktop/coding/smu/Noupe/test/fixtures/latency-corpus/2k.txt,2481,16099,5,2304.11,2587.585,2564.397,2930.902,3002.02,2579.474
5k.txt,/Users/gongahkia/Desktop/coding/smu/Noupe/test/fixtures/latency-corpus/5k.txt,5445,40721,5,6249.444,6939.796,6737.586,8105.672,8442.37,6906.095
