file_name,file_path,word_count,char_count,runs,min_ms,mean_ms,p50_ms,p95_ms,max_ms,mean_server_ms
10k.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/10k.txt,10368,76943,1,329.086,329.086,329.086,329.086,329.086,318.816
1k.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/1k.txt,1334,8728,1,36.406,36.406,36.406,36.406,36.406,34.33
2k.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/2k.txt,2481,16099,1,66.269,66.269,66.269,66.269,66.269,63.751
5k.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/5k.txt,5445,40721,1,155.619,155.619,155.619,155.619,155.619,151.98
browser-prompt.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/browser-prompt.txt,124,818,1,5.478,5.478,5.478,5.478,5.478,3.098
dms-upload-size-document.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/dms-upload-size-document.txt,601,4308,1,17.307,17.307,17.307,17.307,17.307,15.251
legal-memo.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/legal-memo.txt,536,3855,1,15.993,15.993,15.993,15.993,15.993,13.871
outlook-short-email.txt,/Users/gongahkia/Desktop/coding/projects/junas/test/fixtures/latency-corpus/outlook-short-email.txt,69,493,1,3.963,3.963,3.963,3.963,3.963,2.199
